prize_year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country,latitude,longitude,prize_age
1952,Medicine,The Nobel Prize in Physiology or Medicine 1952,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",1月1日,353,Individual,Selman Abraham Waksman,1888-07-22,Priluka (Nova Pryluka),Russian Empire (Ukraine),Male,Rutgers University,"New Brunswick, NJ",United States of America,1973/8/16,"Hyannis, MA",United States of America,48.5899,29.2025,64
1952,Peace,The Nobel Peace Prize 1952,NA,1月1日,513,Individual,Albert Schweitzer,1875-01-14,Kaysersberg,Germany (France),Male,NA,NA,NA,1965/9/4,Lambaréné,Gabon,48.139,7.2633,77
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1月2日,58,Individual,Felix Bloch,1905/10/23,Zurich,Switzerland,Male,Stanford University,"Stanford, CA",United States of America,1983/9/10,Zurich,Switzerland,47.3666667,8.5500002,47
1952,Physics,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",1月2日,59,Individual,Edward Mills Purcell,1912/8/30,"Taylorville, IL",United States,Male,Harvard University,"Cambridge, MA",United States of America,1997/3/7,"Cambridge, MA",United States of America,39.5328,-89.2804,40
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1月1日,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,University of Freiburg,Breisgau,Federal Republic of Germany,1965/9/8,Freiburg im Breisgau,West Germany (Germany),49.6319,8.3653,72
1953,Chemistry,The Nobel Prize in Chemistry 1953,"""for his discoveries in the field of macromolecular chemistry""",1月1日,216,Individual,Hermann Staudinger,1881-03-23,Worms,Germany,Male,"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,1965/9/8,Freiburg im Breisgau,West Germany (Germany),49.6319,8.3653,72
1953,Literature,The Nobel Prize in Literature 1953,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1月1日,624,Individual,Sir Winston Leonard Spencer Churchill,1874-11-30,Woodstock,United Kingdom,Male,NA,NA,NA,1965/1/24,London,United Kingdom,51.846,-1.3526,79
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of the citric acid cycle""",1月2日,354,Individual,Hans Adolf Krebs,1900/8/25,Hildesheim,Germany,Male,Sheffield University,Sheffield,United Kingdom,1981/11/22,Oxford,United Kingdom,52.15,9.95,53
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1月2日,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Harvard Medical School,"Boston, MA",United States of America,1986/7/24,"Poughkeepsie, NY",United States of America,54.7003,20.4531,54
1953,Medicine,The Nobel Prize in Physiology or Medicine 1953,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1月2日,355,Individual,Fritz Albert Lipmann,1899-06-12,Koenigsberg (Kaliningrad),Germany (Russia),Male,Massachusetts General Hospital,"Boston, MA",United States of America,1986/7/24,"Poughkeepsie, NY",United States of America,54.7003,20.4531,54
1953,Peace,The Nobel Peace Prize 1953,NA,1月1日,514,Individual,George Catlett Marshall,1880-12-31,"Uniontown, PA",United States,Male,NA,NA,NA,1959/10/16,"Washington, DC",United States of America,39.8993,-79.7246,73
1953,Physics,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",1月1日,60,Individual,Frits Zernike,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,1966/3/10,Groningen,Netherlands,52.3728,4.8936,65
1954,Chemistry,The Nobel Prize in Chemistry 1954,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1月1日,217,Individual,Linus Carl Pauling,1901/2/28,"Portland, OR",United States,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994/8/19,"Big Sur, CA",United States of America,45.5371,-122.65,53
1954,Literature,The Nobel Prize in Literature 1954,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1月1日,625,Individual,Ernest Miller Hemingway,1899-07-21,"Oak Park, IL",United States,Male,NA,NA,NA,1961/7/2,"Ketchum, ID",United States of America,41.8872,-87.7899,55
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States,Male,Harvard Medical School,"Boston, MA",United States of America,1985/9/8,"Waterford, CT",United States of America,41.7669,-72.7536,57
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,356,Individual,John Franklin Enders,1897-02-10,"West Hartford, CT",United States,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,1985/9/8,"Waterford, CT",United States of America,41.7669,-72.7536,57
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,357,Individual,Thomas Huckle Weller,1915/6/15,"Ann Arbor, MI",United States,Male,"Research Division of Infectious Diseases, Children's Medical Center","Boston, MA",United States of America,2008/8/23,"Needham, MA",United States of America,42.2759,-83.731,39
1954,Medicine,The Nobel Prize in Physiology or Medicine 1954,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1月3日,358,Individual,Frederick Chapman Robbins,1916/8/25,"Auburn, AL",United States,Male,Western Reserve University,"Cleveland, OH",United States of America,2003/8/4,"Cleveland, OH",United States of America,32.6087,-85.4903,38
1954,Peace,The Nobel Peace Prize 1954,NA,1月1日,515,Organization,Office of the United Nations High Commissioner for Refugees (UNHCR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1954,Physics,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",1月2日,61,Individual,Max Born,1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,1970/1/5,Göttingen,West Germany (Germany),51.1,17.0333328,72
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",1月2日,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1957/2/8,Heidelberg,West Germany (Germany),52.7544,13.2369,63
1954,Physics,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",1月2日,62,Individual,Walther Bothe,1891-01-08,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,1957/2/8,Heidelberg,West Germany (Germany),52.7544,13.2369,63
1955,Chemistry,The Nobel Prize in Chemistry 1955,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1月1日,218,Individual,Vincent du Vigneaud,1901/5/18,"Chicago, IL",United States,Male,Cornell University,"Ithaca, NY",United States of America,1978/12/11,"White Plains, NY",United States of America,41.8375,-87.6866,54
1955,Literature,The Nobel Prize in Literature 1955,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1月1日,626,Individual,Halldór Kiljan Laxness,1902/4/23,Reykjavik,Iceland,Male,NA,NA,NA,1998/2/8,Reykjavik,Iceland,64.15,-21.9500008,53
1955,Medicine,The Nobel Prize in Physiology or Medicine 1955,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1月1日,359,Individual,Axel Hugo Theodor Theorell,1903/7/6,Linköping,Sweden,Male,"Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,1982/8/15,Stockholm,Sweden,58.4158,15.6253,52
1955,Physics,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",1月2日,63,Individual,Willis Eugene Lamb,1913/7/12,"Los Angeles, CA",United States,Male,Stanford University,"Stanford, CA",United States of America,2008/5/15,"Tucson, AZ",United States of America,34.1141,-118.4068,42
1955,Physics,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",1月2日,64,Individual,Polykarp Kusch,1911/1/26,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,1993/3/20,"Dallas, TX",United States of America,51.7953,10.9622,44
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1月2日,219,Individual,Sir Cyril Norman Hinshelwood,1897-05-19,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,1967/10/9,London,United Kingdom,51.5072,-0.1275,59
1956,Chemistry,The Nobel Prize in Chemistry 1956,"""for their researches into the mechanism of chemical reactions""",1月2日,220,Individual,Nikolay Nikolaevich Semenov,1896-04-03,Saratov,Russia,Male,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,Union of Soviet Socialist Republics,1986/9/25,Moscow,Union of Soviet Socialist Republics,51.5333,46.0167,60
1956,Literature,The Nobel Prize in Literature 1956,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1月1日,627,Individual,Juan Ramón Jiménez,1881-12-24,Moguer,Spain,Male,NA,NA,NA,1958/5/29,San Juan,Puerto Rico,37.2747,-6.8386,75
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,360,Individual,André Frédéric Cournand,1895-09-24,Paris,France,Male,"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital","New York, NY",United States of America,1988/2/19,"Great Barrington, MA",United States of America,48.8567,2.3522,61
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,361,Individual,Werner Forssmann,1904/8/29,Berlin,Germany,Male,Mainz University,Mainz,Federal Republic of Germany,1979/6/1,Schopfheim,West Germany (Germany),52.52,13.405,52
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,361,Individual,Werner Forssmann,1904/8/29,Berlin,Germany,Male,NA,Bad Kreuznach,Federal Republic of Germany,1979/6/1,Schopfheim,West Germany (Germany),52.52,13.405,52
1956,Medicine,The Nobel Prize in Physiology or Medicine 1956,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1月3日,362,Individual,Dickinson W. Richards,1895-10-30,"Orange, NJ",United States,Male,Columbia University,"New York, NY",United States of America,1973/2/23,"Lakeville, CT",United States of America,33.8038,-117.8218,61
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1月3日,65,Individual,William Bradford Shockley,1910/2/13,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,1989/8/12,"Palo Alto, CA",United States of America,51.5072,-0.1275,46
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1月3日,66,Individual,John Bardeen,1908/5/23,"Madison, WI",United States,Male,University of Illinois,"Urbana, IL",United States of America,1991/1/30,"Boston, MA",United States of America,43.0822,-89.393,48
1956,Physics,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",1月3日,67,Individual,Walter Houser Brattain,1902/2/10,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,1987/10/13,"Seattle, WA",United States of America,24.4798,118.0894,54
1957,Chemistry,The Nobel Prize in Chemistry 1957,"""for his work on nucleotides and nucleotide co-enzymes""",1月1日,221,Individual,Lord (Alexander R.) Todd,1907/10/2,Glasgow,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1997/1/10,Cambridge,United Kingdom,55.8611,-4.25,50
1957,Literature,The Nobel Prize in Literature 1957,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1月1日,628,Individual,Albert Camus,1913/11/7,Mondovi,French Algeria (Algeria),Male,NA,NA,NA,1960/1/4,Sens,France,36.75,3.8333,44
1957,Medicine,The Nobel Prize in Physiology or Medicine 1957,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1月1日,363,Individual,Daniel Bovet,1907/3/23,Neuchâtel,Switzerland,Male,Istituto Superiore di Sanità (Chief Institute of Public Health),Rome,Italy,1992/4/8,Rome,Italy,47,6.9333,50
1957,Peace,The Nobel Peace Prize 1957,NA,1月1日,516,Individual,Lester Bowles Pearson,1897-04-23,Toronto,Canada,Male,NA,NA,NA,1972/12/27,Ottawa,Canada,43.7417,-79.3733,60
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1月2日,68,Individual,Chen Ning Yang,1922/9/22,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,NA,NA,NA,31.8206,117.2272,35
1957,Physics,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",1月2日,69,Individual,Tsung-Dao (T.D.) Lee,1926/11/24,Shanghai,China,Male,Columbia University,"New York, NY",United States of America,NA,NA,NA,31.1667,121.4667,31
1958,Chemistry,The Nobel Prize in Chemistry 1958,"""for his work on the structure of proteins, especially that of insulin""",1月1日,222,Individual,Frederick Sanger,1918/8/13,Rendcombe,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,2013/11/19,Cambridge,United Kingdom,51.7593,-1.9969,40
1958,Literature,The Nobel Prize in Literature 1958,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1月1日,629,Individual,Boris Leonidovich Pasternak,1890-02-10,Moscow,Russia,Male,NA,NA,NA,1960/5/30,Peredelkino,Russia,55.7558,37.6178,68
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1月4日,364,Individual,George Wells Beadle,1903/10/22,"Wahoo, NE",United States,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1989/6/9,"Pomona, CA",United States of America,41.2181,-96.6192,55
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for their discovery that genes act by regulating definite chemical events""",1月4日,365,Individual,Edward Lawrie Tatum,1909/12/14,"Boulder, CO",United States,Male,Rockefeller Institute for Medical Research,"New York, NY",United States of America,1975/11/5,"New York, NY",United States of America,40.0248,-105.2524,49
1958,Medicine,The Nobel Prize in Physiology or Medicine 1958,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",1月2日,366,Individual,Joshua Lederberg,1925/5/23,"Montclair, NJ",United States,Male,University of Wisconsin,"Madison, WI",United States of America,2008/2/2,"New York, NY",United States of America,40.8253,-74.2111,33
1958,Peace,The Nobel Peace Prize 1958,NA,1月1日,517,Individual,Georges Pire,1910/2/10,Dinant,Belgium,Male,NA,NA,NA,1969/1/30,Leuven,Belgium,50.2667,4.9167,48
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,70,Individual,Pavel Alekseyevich Cherenkov,1904/7/28,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1990/1/6,NA,Union of Soviet Socialist Republics,48.7822,44.7772,54
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,1971/4/12,Moscow,Union of Soviet Socialist Republics (Russia),43.1333,131.9,63
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,71,Individual,Igor Yevgenyevich Tamm,1895-07-08,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1971/4/12,Moscow,Union of Soviet Socialist Republics (Russia),43.1333,131.9,63
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,721,Individual,Il´ja Mikhailovich Frank,1908/10/23,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,1990/6/22,Moscow,Union of Soviet Socialist Republics (Russia),59.9343,30.3351,50
1958,Physics,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",1月3日,721,Individual,Il´ja Mikhailovich Frank,1908/10/23,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1990/6/22,Moscow,Union of Soviet Socialist Republics (Russia),59.9343,30.3351,50
1959,Chemistry,The Nobel Prize in Chemistry 1959,"""for his discovery and development of the polarographic methods of analysis""",1月1日,223,Individual,Jaroslav Heyrovsky,1890-12-20,Prague,Austria-Hungary (Czech Republic),Male,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,1967/3/27,Prague,Czechoslovakia,50.0755,14.4378,69
1959,Literature,The Nobel Prize in Literature 1959,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1月1日,630,Individual,Salvatore Quasimodo,1901/8/20,Modica,Italy,Male,NA,NA,NA,1968/6/14,Naples,Italy,36.8672,14.7614,58
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1月2日,367,Individual,Severo Ochoa,1905/9/24,Luarca,Spain,Male,"New York University, College of Medicine","New York, NY",United States of America,1993/11/1,Madrid,Spain,43.5453,-6.5322,54
1959,Medicine,The Nobel Prize in Physiology or Medicine 1959,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1月2日,368,Individual,Arthur Kornberg,1918/3/3,"Brooklyn, NY",United States,Male,Stanford University,"Stanford, CA",United States of America,2007/10/26,"Stanford, CA",United States of America,40.6501,-73.9496,41
1959,Peace,The Nobel Peace Prize 1959,NA,1月1日,518,Individual,Philip J. Noel-Baker,1889-11-01,London,United Kingdom,Male,NA,NA,NA,1982/10/8,London,United Kingdom,51.5072,-0.1275,70
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1月2日,72,Individual,Emilio Gino Segrè,1905/2/1,Tivoli,Italy,Male,University of California,"Berkeley, CA",United States of America,1989/4/22,"Lafayette, CA",United States of America,41.9667,12.8,54
1959,Physics,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",1月2日,73,Individual,Owen Chamberlain,1920/7/10,"San Francisco, CA",United States,Male,University of California,"Berkeley, CA",United States of America,2006/2/28,"Berkeley, CA",United States of America,37.7558,-122.4449,39
1960,Chemistry,The Nobel Prize in Chemistry 1960,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1月1日,224,Individual,Willard Frank Libby,1908/12/17,"Grand Valley, CO",United States,Male,University of California,"Los Angeles, CA",United States of America,1980/9/8,"Los Angeles, CA",United States of America,39.0848,-108.819,52
1960,Literature,The Nobel Prize in Literature 1960,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1月1日,631,Individual,Saint-John Perse,1887-05-31,Pointe-à-Pitre,Guadeloupe Island,Male,NA,NA,NA,1975/9/20,Presqu'île-de-Giens,France,16.2412,-61.534,73
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",1月2日,369,Individual,Sir Frank Macfarlane Burnet,1899-09-03,Traralgon,Australia,Male,Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,1985/8/31,Melbourne,Australia,-38.1958,146.5403,61
1960,Medicine,The Nobel Prize in Physiology or Medicine 1960,"""for discovery of acquired immunological tolerance""",1月2日,370,Individual,Peter Brian Medawar,1915/2/28,Rio de Janeiro,Brazil,Male,University College,London,United Kingdom,1987/10/2,London,United Kingdom,-22.9111,-43.2056,45
1960,Peace,The Nobel Peace Prize 1960,NA,1月1日,519,Individual,Albert John Lutuli,NA,Bulawayo,Southern Rhodesia (Zimbabwe),Male,NA,NA,NA,1967/7/21,Stanger,South Africa,-20.17,28.58,
1960,Physics,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",1月1日,74,Individual,Donald Arthur Glaser,1926/9/21,"Cleveland, OH",United States,Male,University of California,"Berkeley, CA",United States of America,2013/2/28,"Berkeley, CA",United States of America,41.4764,-81.6805,34
1961,Chemistry,The Nobel Prize in Chemistry 1961,"""for his research on the carbon dioxide assimilation in plants""",1月1日,225,Individual,Melvin Calvin,1911/4/8,"St. Paul, MN",United States,Male,University of California,"Berkeley, CA",United States of America,1997/1/8,"Berkeley, CA",United States of America,44.9478,-93.1039,50
1961,Literature,The Nobel Prize in Literature 1961,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1月1日,633,Individual,Ivo Andric,1892-10-10,Dolac,Bosnia (Bosnia and Herzegovina),Male,NA,NA,NA,1975/3/13,Belgrade,Yugoslavia (Serbia),44.5389,18.6676,69
1961,Medicine,The Nobel Prize in Physiology or Medicine 1961,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1月1日,371,Individual,Georg von Békésy,1899-06-03,Budapest,Hungary,Male,Harvard University,"Cambridge, MA",United States of America,1972/6/13,"Honolulu, HI",United States of America,47.4925,19.0514,62
1961,Peace,The Nobel Peace Prize 1961,NA,1月1日,520,Individual,Dag Hjalmar Agne Carl Hammarskjöld,1905/7/29,Jönköping,Sweden,Male,NA,NA,NA,1961/9/18,Ndola,Northern Rhodesia (Zambia),57.7828,14.1606,56
1961,Physics,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",1月2日,75,Individual,Robert Hofstadter,1915/2/5,"New York, NY",United States,Male,Stanford University,"Stanford, CA",United States of America,1990/11/17,"Stanford, CA",United States of America,40.6943,-73.9249,46
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",1月2日,76,Individual,Rudolf Ludwig Mössbauer,1929/1/31,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,2011/9/14,NA,NA,48.1375,11.575,32
1961,Physics,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",1月2日,76,Individual,Rudolf Ludwig Mössbauer,1929/1/31,Munich,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,2011/9/14,NA,NA,48.1375,11.575,32
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",1月2日,226,Individual,Max Ferdinand Perutz,1914/5/19,Vienna,Austria,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002/2/6,Cambridge,United Kingdom,48.2083,16.3725,48
1962,Chemistry,The Nobel Prize in Chemistry 1962,"""for their studies of the structures of globular proteins""",1月2日,227,Individual,John Cowdery Kendrew,1917/3/24,Oxford,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1997/8/23,Cambridge,United Kingdom,51.7519,-1.2578,45
1962,Literature,The Nobel Prize in Literature 1962,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",1月1日,634,Individual,John Steinbeck,1902/2/27,"Salinas, CA",United States,Male,NA,NA,NA,1968/12/20,"New York, NY",United States of America,36.6883,-121.6317,60
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1月3日,372,Individual,Francis Harry Compton Crick,1916/6/8,Northampton,United Kingdom,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2004/7/28,"San Diego, CA",United States of America,52.2304,-0.8938,46
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1月3日,373,Individual,James Dewey Watson,1928/4/6,"Chicago, IL",United States,Male,Harvard University,"Cambridge, MA",United States of America,NA,NA,NA,41.8375,-87.6866,34
1962,Medicine,The Nobel Prize in Physiology or Medicine 1962,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1月3日,374,Individual,Maurice Hugh Frederick Wilkins,1916/12/15,Pongaroa,New Zealand,Male,London University,London,United Kingdom,2004/10/5,London,United Kingdom,-40.9361,176.1889,46
1962,Peace,The Nobel Peace Prize 1962,NA,1月1日,217,Individual,Linus Carl Pauling,1901/2/28,"Portland, OR",United States,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994/8/19,"Big Sur, CA",United States of America,45.5371,-122.65,61
1962,Physics,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",1月1日,77,Individual,Lev Davidovich Landau,1908/1/22,Baku,Russian Empire (Azerbaijan),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1968/4/1,Moscow,Union of Soviet Socialist Republics (Russia),40.3667,49.8352,54
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",1月2日,228,Individual,Karl Ziegler,1898-11-26,Helsa,Germany,Male,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Federal Republic of Germany,1973/8/12,Mülheim,West Germany (Germany),51.2877,9.7286,65
1963,Chemistry,The Nobel Prize in Chemistry 1963,"""for their discoveries in the field of the chemistry and technology of high polymers""",1月2日,229,Individual,Giulio Natta,1903/2/26,Imperia,Italy,Male,Institute of Technology,Milan,Italy,1979/5/2,Bergamo,Italy,43.8833,8.0333,60
1963,Literature,The Nobel Prize in Literature 1963,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",1月1日,635,Individual,Giorgos Seferis,1900/3/13,Smyrna (Izmir),Ottoman Empire (Turkey),Male,NA,NA,NA,1971/9/20,Athens,Greece,38.4072222,27.1502781,63
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1月3日,375,Individual,Sir John Carew Eccles,1903/1/27,Melbourne,Australia,Male,Australian National University,Canberra,Australia,1997/5/2,Contra,Switzerland,-37.8142,144.9631,60
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1月3日,376,Individual,Alan Lloyd Hodgkin,1914/2/5,Banbury,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1998/12/20,Cambridge,United Kingdom,52.061,-1.336,49
1963,Medicine,The Nobel Prize in Physiology or Medicine 1963,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1月3日,377,Individual,Andrew Fielding Huxley,1917/11/22,Hampstead,United Kingdom,Male,University College,London,United Kingdom,2012/5/30,Grantchester,United Kingdom,51.5556,-0.1769,46
1963,Peace,The Nobel Peace Prize 1963,NA,1月2日,482,Organization,Comité international de la Croix Rouge (International Committee of the Red Cross),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1963,Peace,The Nobel Peace Prize 1963,NA,1月2日,523,Organization,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
